chirp_mass,chirp_mass_source,mass_1,mass_2,mass_ratio,luminosity_distance,chi_eff
29.879208,26.740943,39.30554,30.07783,0.76523132,563.02688,-0.10425762
32.746348,29.995313,40.552496,34.930384,0.86136213,432.60521,0.096863976
29.707883,27.081515,36.68089,31.780572,0.86640679,459.05646,-0.09387926
29.164401,26.999641,36.833158,30.524218,0.82871575,375.22957,-0.18635754
29.298447,26.860496,44.558263,25.797614,0.57896364,427.83983,-0.14693722
29.813898,27.007923,41.655129,28.364067,0.68092616,494.05367,-0.099694192
30.893598,28.454474,37.158607,33.905624,0.9124568,402.68978,-0.063829319
30.219508,27.381955,45.181126,27.021273,0.5980655,492.70221,-0.047143186
28.910283,26.17433,36.592297,30.194493,0.82515982,497.27501,-0.22102241
28.65611,26.288594,35.293964,30.729965,0.87068611,424.31573,-0.20584793
31.073459,28.562149,36.915008,34.521194,0.93515336,413.66243,0.012330297
29.841923,27.710477,35.311973,33.282785,0.94253541,359.1731,-0.12219899
30.952438,28.810544,38.675763,32.731568,0.84630698,346.53677,-0.026328525
29.277682,26.937639,37.865091,29.952757,0.79103883,408.40426,-0.18503003
30.34509,27.626076,43.570994,28.151512,0.64610674,466.33062,-0.018872328
29.52817,27.576157,42.219158,27.500195,0.65136768,329.14093,-0.10020896
30.769281,27.55909,39.066734,32.03996,0.82013407,558.51575,-0.011462425
30.550714,28.213154,38.15357,32.323324,0.84719001,388.46399,-0.059905208
30.749351,28.440336,36.267586,34.405319,0.94865203,380.22231,-0.051876782
29.875846,27.184113,41.371841,28.658817,0.69271311,469.3443,-0.089123759
30.26181,27.171577,37.648293,32.136607,0.85360062,544.33532,-0.062936722
30.088443,27.337147,43.228123,27.898231,0.64537225,477.56077,-0.087648825
29.476057,26.755077,38.507819,29.867578,0.77562372,482.91252,-0.19045345
30.649553,28.279603,40.232281,30.916314,0.76844545,393.17608,-0.062414766
30.06066,27.657328,39.974654,29.952099,0.74927727,408.54311,-0.049060899
30.435913,28.97531,37.431541,32.68481,0.87318901,231.04769,-0.050787881
31.11162,29.404981,37.43276,34.134231,0.91188122,267.46978,0.024314168
31.294007,28.63396,36.60679,35.302161,0.96436102,438.53335,0.017442854
31.452888,28.232546,39.345206,33.224716,0.84444126,546.05583,0.0025463667
32.227974,28.70981,42.716614,32.211111,0.75406517,589.87385,0.095755971
29.823783,27.822434,34.591536,33.929364,0.98085737,334.73873,-0.099940654
29.389911,26.897727,38.876393,29.430634,0.75703099,437.30853,-0.14829867
30.262241,27.055256,40.712606,29.824948,0.73257281,569.10587,-0.061441437
30.227134,27.304278,44.37173,27.481277,0.61934204,510.10884,-0.0034865763
30.522519,27.660375,38.898105,31.669452,0.81416439,491.9197,-0.046271236
29.478215,26.642737,34.034178,33.690026,0.98988807,506.93876,-0.13504002
31.148537,27.635561,37.535762,34.122385,0.90906334,613.70235,-0.01932224
32.264136,29.129264,38.362924,35.813196,0.93353665,513.02691,0.054335702
31.600214,29.158528,40.939036,32.275956,0.78839072,392.84928,0.0074821937
30.451102,28.057368,40.916579,30.045639,0.73431454,400.67943,-0.081487388
30.296478,28.038424,37.215938,32.572619,0.87523304,376.99187,-0.10073755
30.624984,28.157401,39.279165,31.581488,0.80402646,412.22175,-0.076567566
30.427642,28.103258,38.573878,31.730879,0.8226002,387.74659,-0.064661455
31.039711,28.186076,41.632207,30.678509,0.73689364,480.59749,0.0067317769
29.392111,26.73445,33.962745,33.564007,0.98825956,471.3202,-0.15845045
29.738072,27.511158,34.672293,33.65691,0.97071484,379.02527,-0.076146284
33.348786,29.847055,38.748169,37.873217,0.97741951,562.84323,0.1130667
31.349622,28.178111,39.6708,32.749351,0.82552788,538.28245,0.027703979
29.08186,26.263021,37.87782,29.553257,0.78022592,511.55557,-0.17011444
29.842511,27.953561,45.177099,26.385775,0.58405201,313.50584,-0.10987453
31.387848,28.887,36.796662,35.331534,0.96018315,406.93372,0.01815989
31.013279,27.752397,45.253736,28.350394,0.62647632,563.75516,0.0054411986
31.085335,29.101417,36.655965,34.788668,0.94905886,316.41197,0.022624627
30.815214,27.472138,36.914223,33.954727,0.91982776,585.44806,-0.079628758
29.539184,27.153787,37.821728,30.511766,0.80672587,413.28008,-0.12019545
30.181261,27.937193,36.230248,33.188103,0.91603301,375.96066,-0.06281486
30.128618,27.876311,35.186083,34.042638,0.96750292,378.28708,-0.085827874
28.550384,26.212377,35.230181,30.560449,0.86745081,420.00028,-0.21251661
30.412386,27.906906,39.983873,30.631289,0.7660911,422.92286,-0.04797982
29.326194,26.520163,45.710788,25.260043,0.55260571,503.78714,-0.035955868
30.227068,27.022108,35.948788,33.544692,0.93312441,569.47043,-0.087804672
30.240458,27.481583,34.746504,34.727828,0.99946248,476.27914,-0.090255833
31.243713,28.814092,36.255869,35.527765,0.97991762,395.73771,-0.015771555
30.240957,28.06519,34.877261,34.598883,0.99201833,362.15896,-0.066134793
31.863957,28.676489,36.969524,36.239,0.98023985,531.10186,0.056257422
30.996942,28.315937,36.132672,35.088782,0.97110952,447.48835,-0.011356248
31.141738,28.72859,37.424488,34.207176,0.91403191,394.13787,0.044845879
30.557158,27.481332,45.454864,27.448871,0.60387094,535.05851,-0.030816803
30.700795,27.801103,43.875108,28.604657,0.6519564,496.12171,-0.017183223
29.774303,26.732903,44.836468,26.451017,0.58994427,544.5389,-0.12160978
31.884413,28.795402,36.915858,36.338024,0.98434727,511.2667,-0.0027186344
28.970863,25.922102,38.149728,29.135111,0.76370428,564.34036,-0.18216792
30.829189,27.961948,37.042797,33.869325,0.91432958,487.17903,-0.051888543
31.013099,28.684553,38.854173,32.711981,0.8419168,380.17127,-0.008484825
31.327788,28.447901,41.129665,31.595278,0.76818709,480.55172,0.017867011
30.350636,27.610964,36.926379,32.937788,0.89198532,470.38239,-0.10510082
31.443372,27.645456,38.282259,34.100679,0.89076978,667.58614,0.011553942
29.180684,27.425147,34.515015,32.55883,0.94332366,296.23841,-0.17078262
31.93271,29.464936,39.821493,33.833122,0.84961963,392.92153,0.062881213
30.768743,28.171134,37.184893,33.611396,0.90389924,435.07329,-0.012550047
30.893457,28.408746,36.380265,34.620437,0.95162686,411.36266,-0.036148191
31.340457,28.236978,36.383401,35.622881,0.97909706,524.72766,-0.027530463
29.998278,27.096444,40.332077,29.582314,0.73346864,510.33958,-0.077047138
31.436823,28.471052,41.297893,31.686976,0.76727827,495.4435,0.0045999273
30.419907,27.428848,37.536397,32.562192,0.86748314,520.32578,-0.054568126
30.645475,28.027342,36.168854,34.266782,0.94741133,441.11813,-0.068219162
30.795979,28.047486,36.753866,34.058298,0.92665892,464.17142,0.0051485458
31.256547,27.964719,43.58097,29.79336,0.68363234,564.86309,0.0035330736
30.871965,27.60188,37.810928,33.287071,0.88035584,568.78871,-0.039597327
30.47837,26.898998,41.998401,29.371425,0.69934626,644.8669,-0.045919915
31.073058,28.374041,39.349195,32.437918,0.8243604,449.70506,0.031638395
29.02596,26.81914,35.440805,31.390714,0.88572236,385.65002,-0.20241059
32.06766,29.970586,37.599926,36.090757,0.95986245,325.16614,0.044669665
32.017505,28.737102,37.83682,35.755418,0.94499005,546.50487,0.029041179
30.15108,27.64417,36.015094,33.316919,0.92508213,427.44716,-0.1465249
30.089616,27.586902,38.317155,31.243164,0.81538318,427.62802,-0.088154372
30.943447,28.336253,35.67766,35.412308,0.9925625,434.07611,-0.042452867
29.309573,26.923119,40.721909,28.029466,0.68831414,417.22924,-0.13944713
30.426414,27.505112,39.174441,31.26179,0.79801497,505.8352,-0.042813349
30.018923,28.06749,37.295451,31.920646,0.85588577,323.00015,-0.091598718
30.351245,27.782727,36.770451,33.075732,0.89951932,436.28635,-0.059936092
31.30479,29.076002,38.903042,33.279652,0.85545115,357.87262,0.03118937
31.113902,29.003369,35.778939,35.702086,0.99785202,338.82323,-0.020963909
30.952018,28.111024,36.141273,34.979184,0.96784593,479.68853,-0.057332727
31.217373,28.343768,36.053939,35.666011,0.98924033,481.31336,-0.008319288
28.628246,25.939691,39.506418,27.551134,0.69738376,492.79266,-0.2371588
30.68767,27.466837,39.476335,31.556551,0.79937896,562.53424,-0.058828536
30.672651,28.331764,36.382622,34.127894,0.93802732,387.32768,-0.032030268
30.681611,27.913116,38.473062,32.334551,0.84044652,470.17284,-0.041546811
31.005858,28.777169,35.63622,35.59655,0.99888681,361.77003,-0.0024441309
30.155056,27.024506,45.474016,26.755178,0.58836189,555.20163,-0.088356814
29.816994,27.347627,39.398676,29.8889,0.75862703,425.49961,-0.055009485
30.292019,27.33761,35.905088,33.728525,0.93938009,515.33441,-0.046483654
29.172939,27.086815,36.140919,31.10722,0.86072022,359.65397,-0.15445614
30.945958,28.735656,40.598502,31.231976,0.76928887,359.17314,-0.0054461817
30.195268,27.580274,37.500315,32.119972,0.8565254,448.1522,-0.10804634
29.311114,27.021392,37.598435,30.22318,0.80384144,397.80677,-0.18846272
30.748134,27.756782,36.055538,34.603041,0.95971501,513.79679,-0.027709168
31.13043,28.656284,38.244905,33.46535,0.87502767,405.76562,0.0076168858
32.125168,29.421416,37.857241,35.975784,0.95030128,433.51621,0.080220448
